Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
90	140	0	1.24300596	0	0	0	0	0	5e-06	0	100	0	0	3
91	141	0	1.25681714	0	0	0	0	0	5e-06	0	100	0	0	3
92	143	0	1.27062832	0	0	0	0	0	5e-06	0	100	0	0	3
93	144	0	1.28443949	0	0	0	0	0	5e-06	0	100	0	0	3
94	146	0	1.29825067	0	0	0	0	0	5e-06	0	100	0	0	3
95	150	0	1.31206185	0	0	0	0	0	5e-06	0	100	0	0	3
96	154	0	1.32587303	0	0	0	0	0	5e-06	0	100	0	0	3
97	159	0	1.3396842	0	0	0	0	0	5e-06	0	100	0	0	3
98	163	0	1.35349538	0	0	0	0	0	5e-06	0	100	0	0	3
99	166	0	1.36730656	0	0	0	0	0	5e-06	0	100	0	0	3
100	169	0	1.38111774	0	0	0	0	0	5e-06	0	100	0	0	3
101	173	0	1.39492891	0	0	0	0	0	5e-06	0	100	0	0	3
102	176	0	1.40874009	0	0	0	0	0	5e-06	0	100	0	0	3
103	179	0	1.42255127	0	0	0	0	0	5e-06	0	100	0	0	3
104	182	0	1.43636244	0	0	0	0	0	5e-06	0	100	0	0	3
105	185	0	1.45017362	0	0	0	0	0	5e-06	0	100	0	0	3
106	188	0	1.4639848	0	0	0	0	0	5e-06	0	100	0	0	3
107	190	0	1.47779598	0	0	0	0	0	5e-06	0	100	0	0	3
108	194	0	1.49160715	0	0	0	0	0	5e-06	0	100	0	0	3
109	195	0	1.50541833	0	0	0	0	0	5e-06	0	100	0	0	3
110	198	0	1.51922951	0	0	0	0	0	5e-06	0	100	0	0	3
111	201	0	1.53304069	0	0	0	0	0	5e-06	0	100	0	0	3
112	204	0	1.54685186	0	0	0	0	0	5e-06	0	100	0	0	3
113	206	0	1.56066304	0	0	0	0	0	5e-06	0	100	0	0	3
114	208	0	1.57447422	0	0	0	0	0	5e-06	0	100	0	0	3
115	210	0	1.5882854	0	0	0	0	0	5e-06	0	100	0	0	3
116	211	0	1.60209657	0	0	0	0	0	5e-06	0	100	0	0	3
117	213	0	1.61590775	0	0	0	0	0	5e-06	0	100	0	0	3
118	217	0	1.62971893	0	0	0	0	0	5e-06	0	100	0	0	3
119	221	0	1.64353011	0	0	0	0	0	5e-06	0	100	0	0	3
120	223	0	1.65734128	0	0	0	0	0	5e-06	0	100	0	0	3
121	225	0	1.67115246	0	0	0	0	0	5e-06	0	100	0	0	3
122	228	0	1.68496364	0	0	0	0	0	5e-06	0	100	0	0	3
123	230	0	1.69877481	0	0	0	0	0	5e-06	0	100	0	0	3
124	232	0	1.71258599	0	0	0	0	0	5e-06	0	100	0	0	3
125	234	0	1.72639717	0	0	0	0	0	5e-06	0	100	0	0	3
126	237	0	1.74020835	0	0	0	0	0	5e-06	0	100	0	0	3
127	239	0	1.75401952	0	0	0	0	0	5e-06	0	100	0	0	3
128	241	0	1.7678307	0	0	0	0	0	5e-06	0	100	0	0	3
129	244	0	1.78164188	0	0	0	0	0	5e-06	0	100	0	0	3
130	247	0	1.79545306	0	0	0	0	0	5e-06	0	100	0	0	3
131	249	0	1.80926423	0	0	0	0	0	5e-06	0	100	0	0	3
132	251	0	1.82307541	0	0	0	0	0	5e-06	0	100	0	0	3
133	253	0	1.83688659	0	0	0	0	0	5e-06	0	100	0	0	3
134	256	0	1.85069777	0	0	0	0	0	5e-06	0	100	0	0	3
135	260	0	1.86450894	0	0	0	0	0	5e-06	0	100	0	0	3
