Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
51	86	0	0.704370045	-0.00230268271	0.00273724557	-0.00251835165	0.0658448252	0.00302685946	0	0	0	0	0	3
52	87	0	0.718181222	-0.00243846999	0.00267943803	-0.00251835165	0.0658448252	0.00302685946	0	0	0	0	0	3
53	88	0	0.7319924	-0.000887914645	0.00266619114	-0.00251835165	0.0658448252	0.00302685946	0	0	0	0	0	3
54	90	0	0.745803577	-0.0030788604	0.00265104226	-0.0030788604	0.0658448252	0.00302685946	0	0	0	0	0	3
55	91	0	0.759614754	-0.00289391386	0.0025864713	-0.0030788604	0.0658448252	0.00302685946	0	0	0	0	0	3
56	93	0	0.773425932	0.00224484199	0.00266311051	-0.0030788604	0.0658448252	0.00302685946	0	0	0	0	0	3
57	94	0	0.787237109	0.00226458684	0.00273996312	-0.0030788604	0.0658448252	0.00302685946	0	0	0	0	0	3
58	96	0	0.801048287	0.00215645687	0.00280952423	-0.0030788604	0.0658448252	0.00302685946	0	0	0	0	0	3
59	97	0	0.814859464	0.00221317503	0.00288738483	-0.0030788604	0.0658448252	0.00302685946	0	0	0	0	0	3
60	98	0	0.828670641	0.00176925421	0.00295809057	-0.0030788604	0.0658448252	0.00307792233	0	0	0	0	0	3
61	100	0	0.842481819	-0.002987133	0.00289414708	-0.0030788604	0.0658448252	0.00307792233	0	0	0	0	0	3
62	101	0	0.856292996	-0.00169672523	0.00286786274	-0.0030788604	0.0658448252	0.00307792233	0	0	0	0	0	3
63	102	0	0.870104173	0.00243706112	0.00294291666	-0.0030788604	0.0658448252	0.00307792233	0	0	0	0	0	3
64	104	0	0.883915351	0.00221138746	0.00277173981	-0.0030788604	0.0658448252	0.00307792233	0	0	0	0	0	3
65	105	0	0.897726528	0.0515064486	0.00413728972	-0.0030788604	0.0658448252	0.00425712147	0	0	0	0	0	3
66	106	0	0.911537705	-0.000798205037	0.00409048942	-0.0030788604	0.0658448252	0.00425712147	0	0	0	0	0	3
67	108	0	0.925348883	0.0549750584	0.00555613986	-0.0030788604	0.0658448252	0.00567597161	0	0	0	0	0	3
68	109	0	0.93916006	0.000333680013	0.00553962248	-0.0030788604	0.0658448252	0.00567597161	0	0	0	0	0	3
69	111	0	0.952971237	0.0223154258	0.00613049413	-0.0030788604	0.0658448252	0.00625032589	0	0	0	0	0	3
70	112	0	0.966782415	0.0184403587	0.00662113944	-0.0030788604	0.0658448252	0.0067409712	0	0	0	0	0	3
71	113	0	0.980593592	0.00112716114	0.00667639368	-0.0030788604	0.0658448252	0.00679622543	0	0	0	0	0	3
72	115	0	0.994404769	0.00145437398	0.00674851499	-0.0030788604	0.0658448252	0.00686834674	0	0	0	0	0	3
73	116	0	1.00821595	0.00281555323	0.00685666598	-0.0030788604	0.0658448252	0.00697649773	1.51702304	0	100	0	0	3
74	117	0	1.02202712	0.00118081858	0.00694052397	-0.0030788604	0.0658448252	0.00706035572	1.51702304	0	100	0	0	3
75	119	0	1.0358383	0.00177388409	0.00703881906	-0.0030788604	0.0658448252	0.00711182969	1.51702304	0	100	0	0	3
76	120	0	1.04964948	0.00023248615	0.00699589305	-0.0030788604	0.0658448252	0.00657486026	1.51702304	0	100	0	0	3
77	122	0	1.06346066	0.00202464137	0.00651618941	-0.0030788604	0.0658448252	0.00652876946	1.51702304	0	100	0	0	3
78	123	0	1.07727183	-0.00252824083	0.00640315331	-0.0030788604	0.0658448252	0.00474806912	1.51702304	0	100	0	0	3
