Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	102	0	0.870104173	101342.722	101342.495	101341.733	101343.096	1.1201862	0	0	0	0	0	3
64	104	0	0.883915351	101342.933	101342.528	101342.036	101343.096	1.06048468	0	0	0	0	0	3
65	105	0	0.897726528	101342.832	101342.549	101342.202	101343.096	0.894689112	0	0	0	0	0	3
66	106	0	0.911537705	101342.953	101342.569	101342.312	101343.096	0.784856462	0	0	0	0	0	3
67	108	0	0.925348883	101342.854	101342.582	101342.312	101343.096	0.784856462	0	0	0	0	0	3
68	109	0	0.93916006	101343.136	101342.599	101342.312	101343.136	0.824672856	0	0	0	0	0	3
69	111	0	0.952971237	101343.398	101342.62	101342.312	101343.398	0.941954443	0	0	0	0	0	3
70	112	0	0.966782415	101343.449	101342.644	101342.312	101343.449	0.92304489	0	0	0	0	0	3
71	113	0	0.980593592	101343.383	101342.667	101342.312	101343.449	0.903074736	0	0	0	0	0	3
72	115	0	0.994404769	101343.546	101342.696	101342.312	101343.546	0.883786306	0	0	0	0	0	3
73	116	0	1.00821595	101343.701	101342.73	101342.312	101343.701	0.861757914	0.0848653187	0	9.8	0	0	3
74	117	0	1.02202712	101343.715	101342.768	101342.33	101343.715	0.525186386	0.0848653187	0	16.1	0	0	3
75	119	0	1.0358383	101343.562	101342.801	101342.349	101343.715	0.558497315	0.0848653187	0	15.1	0	0	3
76	120	0	1.04964948	101343.733	101342.835	101342.349	101343.733	0.592343427	0.0848653187	0	14.3	0	0	3
77	122	0	1.06346066	101343.675	101342.867	101342.349	101343.733	0.624561102	0.0848653187	0	13.5	0	0	3
78	123	0	1.07727183	101343.678	101342.898	101342.349	101343.733	0.65476447	0.0848653187	0	12.9	0	0	3
79	124	0	1.09108301	101343.675	101342.927	101342.349	101343.733	0.683957702	0.0848653187	0	12.4	0	0	3
80	126	0	1.10489419	101343.645	101342.956	101342.349	101343.733	0.713303978	0.0848653187	0	11.8	0	0	3
81	127	0	1.11870537	101343.729	101342.992	101342.349	101343.733	0.749169853	0.0848653187	0	11.3	0	0	3
82	129	0	1.13251654	101343.482	101343.021	101342.349	101343.733	0.778392833	0.0848653187	0	10.9	0	0	3
83	130	0	1.14632772	101343.327	101343.044	101342.349	101343.733	0.800670363	0.0848653187	0	10.5	0	0	3
84	131	0	1.1601389	101343.322	101343.065	101342.349	101343.733	0.821713823	0.0848653187	0	10.3	0	0	3
85	133	0	1.17395008	101343.297	101343.088	101342.349	101343.733	0.845584043	0.0848653187	0	10	0	0	3
86	134	0	1.18776125	101343.22	101343.111	101342.349	101343.733	0.868349231	0.0848653187	0	9.7	0	0	3
87	136	0	1.20157243	101343.208	101343.134	101342.349	101343.733	0.891159923	0.0848653187	0	9.5	0	0	3
88	137	0	1.21538361	101343.355	101343.161	101342.397	101343.733	0.918340534	0.0848653187	0	9.2	0	0	3
89	139	0	1.22919478	101343.569	101343.191	101342.397	101343.733	0.947898335	0.0848653187	0	8.9	0	0	3
90	140	0	1.24300596	101343.657	101343.225	101342.397	101343.733	0.981895617	0.0848653187	0	8.6	0	0	3
91	141	0	1.25681714	101343.816	101343.263	101342.428	101343.816	1.00927281	0.0848653187	0	8.4	0	0	3
92	143	0	1.27062832	101343.614	101343.295	101342.638	101343.816	1.03058049	0.0848653187	0	8.2	0	0	3
93	144	0	1.28443949	101343.587	101343.321	101342.688	101343.816	1.03254645	0.0848653187	0	8.2	0	0	3
94	146	0	1.29825067	101343.726	101343.349	101342.695	101343.816	1.03320866	0.0848653187	0	8.2	0	0	3
95	150	0	1.31206185	101343.675	101343.371	101342.695	101343.816	1.01639831	0.0848653187	0	8.3	0	0	3
96	154	0	1.32587303	101343.594	101343.384	101342.695	101343.816	0.996294826	0.0848653187	0	8.5	0	0	3
97	159	0	1.3396842	101343.426	101343.396	101342.695	101343.816	0.974775389	0.0848653187	0	8.7	0	0	3
98	163	0	1.35349538	101343.494	101343.416	101342.695	101343.816	0.957183745	0.0848653187	0	8.8	0	0	3
99	166	0	1.36730656	101343.513	101343.438	101342.722	101343.816	0.942851222	0.0848653187	0	9	0	0	3
100	169	0	1.38111774	101343.926	101343.471	101342.832	101343.926	0.942935327	0.0848653187	0	9	0	0	3
101	173	0	1.39492891	101343.868	101343.496	101342.832	101343.926	0.946694644	0.0848653187	0	8.9	0	0	3
102	176	0	1.40874009	101343.53	101343.515	101342.854	101343.926	0.945261519	0.0848653187	0	8.9	0	0	3
103	179	0	1.42255127	101343.386	101343.526	101342.854	101343.926	0.944632775	0.0848653187	0	8.9	0	0	3
104	182	0	1.43636244	101343.6	101343.546	101343.136	101343.926	0.789202048	0.0848653187	0	10.7	0	0	3
105	185	0	1.45017362	101343.675	101343.561	101343.208	101343.926	0.717611329	0.0848653187	0	11.8	0	0	3
106	188	0	1.4639848	101343.856	101343.573	101343.208	101343.926	0.717611329	0.0848653187	0	11.8	0	0	3
107	190	0	1.47779598	101343.944	101343.587	101343.208	101343.944	0.736326085	0.0848653187	0	11.5	0	0	3
108	194	0	1.49160715	101343.852	101343.6	101343.208	101343.944	0.736326085	0.0848653187	0	11.5	0	0	3
109	195	0	1.50541833	101344.082	101343.614	101343.208	101344.082	0.87420652	0.0848653187	0	9.7	0	0	3
110	198	0	1.51922951	101344.122	101343.625	101343.208	101344.122	0.857294155	0.0848653187	0	9.8	0	0	3
111	201	0	1.53304069	101344.022	101343.634	101343.208	101344.122	0.832278268	0.0848653187	0	10.1	0	0	3
112	204	0	1.54685186	101343.876	101343.642	101343.208	101344.122	0.806899858	0.0848653187	0	10.5	0	0	3
113	206	0	1.56066304	101343.9	101343.647	101343.208	101344.122	0.779181801	0.0848653187	0	10.8	0	0	3
114	208	0	1.57447422	101343.611	101343.645	101343.208	101344.122	0.748978433	0.0848653187	0	11.3	0	0	3
115	210	0	1.5882854	101344	101343.654	101343.208	101344.122	0.726759739	0.0848653187	0	11.6	0	0	3
116	211	0	1.60209657	101344.213	101343.668	101343.208	101344.213	0.711946525	0.0848653187	0	11.9	0	0	3
117	213	0	1.61590775	101343.861	101343.674	101343.208	101344.213	0.681928472	0.0848653187	0	12.4	0	0	3
118	217	0	1.62971893	101343.724	101343.674	101343.208	101344.213	0.652705492	0.0848653187	0	13	0	0	3
119	221	0	1.64353011	101343.468	101343.673	101343.208	101344.213	0.630427962	0.0848653187	0	13.4	0	0	3
120	223	0	1.65734128	101343.646	101343.682	101343.208	101344.213	0.617460221	0.0848653187	0	13.7	0	0	3
121	225	0	1.67115246	101343.898	101343.698	101343.208	101344.213	0.609150018	0.0848653187	0	13.9	0	0	3
122	228	0	1.68496364	101344.09	101343.719	101343.208	101344.213	0.607817162	0.0848653187	0	13.9	0	0	3
123	230	0	1.69877481	101344.286	101343.748	101343.208	101344.286	0.613804885	0.0848653187	0	13.8	0	0	3
124	232	0	1.71258599	101344.155	101343.773	101343.355	101344.286	0.61221528	0.0848653187	0	13.8	0	0	3
125	234	0	1.72639717	101344.046	101343.792	101343.386	101344.286	0.601330642	0.0848653187	0	14.1	0	0	3
126	237	0	1.74020835	101344.061	101343.805	101343.386	101344.286	0.580625198	0.0848653187	0	14.6	0	0	3
127	239	0	1.75401952	101343.844	101343.81	101343.386	101344.286	0.54731546	0.0848653187	0	15.5	0	0	3
128	241	0	1.7678307	101343.566	101343.804	101343.386	101344.286	0.515262027	0.0848653187	0	16.4	0	0	3
129	244	0	1.78164188	101343.36	101343.797	101343.36	101344.286	0.489630028	0.0848653187	0	17.3	0	0	3
130	247	0	1.79545306	101343.536	101343.795	101343.36	101344.286	0.461565177	0.0848653187	0	18.3	0	0	3
131	249	0	1.80926423	101343.533	101343.79	101343.36	101344.286	0.439648847	0.0848653187	0	19.3	0	0	3
132	251	0	1.82307541	101343.375	101343.782	101343.36	101344.286	0.426199711	0.0848653187	0	19.9	0	0	3
133	253	0	1.83688659	101343.378	101343.776	101343.36	101344.286	0.414198461	0.0848653187	0	20.4	0	0	3
134	256	0	1.85069777	101343.364	101343.775	101343.36	101344.286	0.394600402	0.0848653187	0	21.5	0	0	3
135	260	0	1.86450894	101343.497	101343.775	101343.36	101344.286	0.372482283	0.0848653187	0	22.7	0	0	3
